,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,sigma1_mpa,delta_mm,Ap
X1,0.100450814,0.08927156,0.08427237,0.08542287,0.097368985,0.08566195,0.08944267,0.0,0.0,0.0,0.0,0.11875393,0.11838622,0.13096863
X2,0.10305676,0.086423725,0.087161735,0.08959899,0.09365913,0.09558944,0.08620487,0.0,0.0,0.0,0.0,0.108142324,0.118989706,0.13117333
X3,0.1027784,0.09495601,0.08952741,0.08740494,0.09842511,0.08984547,0.090189815,0.0,0.0,0.0,0.0,0.10538272,0.11055338,0.13093673
X4,0.10856056,0.0899028,0.092580035,0.087602995,0.103661574,0.09260121,0.08606258,0.0,0.0,0.0,0.0,0.10077208,0.11187207,0.1263841
X5,0.10511952,0.08943647,0.09009939,0.08752136,0.10291916,0.09166434,0.08947546,0.0,0.0,0.0,0.0,0.104393415,0.119002916,0.12036797
X6,0.10116934,0.089018725,0.09101232,0.08977857,0.09678731,0.08917954,0.08971129,0.0,0.0,0.0,0.0,0.1083333,0.110231735,0.13477789
X7,0.10929722,0.084875666,0.09006971,0.08230952,0.0990057,0.091342546,0.08915048,0.0,0.0,0.0,0.0,0.11280975,0.11073729,0.13040212
X8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13979596,0.13713388,0.12795992,0.14748046,0.16225822,0.13320717,0.15216438
X9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15283549,0.14207616,0.13270757,0.1442572,0.14497437,0.119397126,0.16375206
X10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14895864,0.14104739,0.136989,0.1540377,0.14510642,0.1361505,0.13771038
X11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1422274,0.14019357,0.1287536,0.15948929,0.1423355,0.116830036,0.17017058
sigma1_mpa,0.072585724,0.06796244,0.069287956,0.07524013,0.071467414,0.067556515,0.07195408,0.06978098,0.066727534,0.0682341,0.07021215,0.071039595,0.07676943,0.08118201
delta_mm,0.071561426,0.064039595,0.070599094,0.072989486,0.07376346,0.06672323,0.07038977,0.06753296,0.06251256,0.065592684,0.06823568,0.07560704,0.07571464,0.094738364
Ap,0.07417062,0.0732345,0.07325543,0.07403565,0.073205255,0.06972319,0.07549787,0.067812465,0.062281195,0.067577645,0.06450498,0.07196032,0.067966,0.08477489
